epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5705,1.0038,5.02249,1.32157,0,0,0,0,0.77117,4.79606,1.38926,1e-05,1e-05,1e-05
2,29.1471,0.90546,4.90387,1.22929,0,0,0,0,0.62318,4.57166,1.11518,2.4505e-05,2.4505e-05,2.4505e-05
3,41.179,0.68887,4.46823,1.08542,0,0,0,0,0.3613,4.09172,0.8177,3.8416e-05,3.8416e-05,3.8416e-05
4,53.2798,0.54835,4.24346,0.96362,1,0.2,0.6,0.6,0.27296,4.04767,0.79245,5.1733e-05,5.1733e-05,5.1733e-05
5,65.5632,0.4477,3.64326,0.88116,1,1,0.995,0.96785,0.27469,3.95195,0.78628,6.4456e-05,6.4456e-05,6.4456e-05
6,77.8456,0.52092,3.04062,0.94342,0.90909,1,0.995,0.93736,0.28727,3.83234,0.78139,7.6585e-05,7.6585e-05,7.6585e-05
7,89.9553,0.45279,2.55156,0.88041,0.76923,1,0.995,0.93542,0.31407,3.5829,0.78,8.812e-05,8.812e-05,8.812e-05
8,102.102,0.43099,1.95421,0.85268,0.71429,1,0.995,0.95712,0.32335,3.39433,0.7768,9.9061e-05,9.9061e-05,9.9061e-05
9,114.335,0.47584,1.66642,0.86264,0.43478,1,0.995,0.9283,0.37645,2.87557,0.78138,0.000109408,0.000109408,0.000109408
10,126.436,0.4828,1.33906,0.88665,0.97505,1,0.995,0.95017,0.35619,2.60886,0.77811,0.000119161,0.000119161,0.000119161
11,138.57,0.42804,1.37626,0.88255,0.98158,1,0.995,0.9825,0.29045,2.1158,0.77208,0.00012832,0.00012832,0.00012832
12,150.728,0.4757,1.47285,0.89543,0.98971,1,0.995,0.98046,0.2652,1.88741,0.76772,0.000136885,0.000136885,0.000136885
13,162.937,0.43461,1.15207,0.8488,0.99239,1,0.995,0.9836,0.21158,1.75363,0.75942,0.000144856,0.000144856,0.000144856
14,175.113,0.40502,1.09884,0.84422,0.9916,1,0.995,0.995,0.21707,1.79681,0.76134,0.000152233,0.000152233,0.000152233
15,187.209,0.38301,1.0441,0.85836,0.98793,1,0.995,0.98715,0.27095,2.07656,0.76611,0.000159016,0.000159016,0.000159016
16,199.424,0.39264,1.02889,0.84549,0.9844,1,0.995,0.97961,0.26207,2.18862,0.76368,0.000165205,0.000165205,0.000165205
17,211.681,0.48093,1.0912,0.86629,0.96632,1,0.995,0.96435,0.27281,2.35433,0.76596,0.0001708,0.0001708,0.0001708
18,223.907,0.42687,1.00241,0.83295,0.96938,1,0.995,0.995,0.2601,2.33545,0.76402,0.000175801,0.000175801,0.000175801
19,235.995,0.40214,0.97581,0.84693,0.98529,1,0.995,0.9873,0.26923,2.20062,0.76304,0.000180208,0.000180208,0.000180208
20,247.949,0.40697,0.93519,0.82686,0.98893,1,0.995,0.97194,0.30069,1.91744,0.76617,0.000184021,0.000184021,0.000184021
21,260.067,0.43931,1.01167,0.86781,0.99132,1,0.995,0.95004,0.32076,1.68908,0.77159,0.00018724,0.00018724,0.00018724
22,272.216,0.43607,1.04549,0.89029,0.99259,1,0.995,0.95653,0.28167,1.55618,0.76898,0.000189865,0.000189865,0.000189865
23,284.505,0.40373,0.98296,0.83684,0.9931,1,0.995,0.98547,0.22536,1.47546,0.76415,0.000191896,0.000191896,0.000191896
24,296.446,0.42121,0.96013,0.87702,0.99319,1,0.995,0.98625,0.20029,1.44473,0.76184,0.000193333,0.000193333,0.000193333
25,308.527,0.39868,0.95462,0.83869,0.99325,1,0.995,0.98648,0.20343,1.41795,0.76005,0.000194176,0.000194176,0.000194176
26,320.594,0.41482,0.98709,0.86426,0.99339,1,0.995,0.995,0.21153,1.38791,0.76031,0.000194425,0.000194425,0.000194425
27,332.774,0.43078,1.02028,0.88414,0.99367,1,0.995,0.9835,0.21319,1.31331,0.7601,0.00019408,0.00019408,0.00019408
28,344.719,0.34724,0.88592,0.80383,0.99397,1,0.995,0.98124,0.21801,1.21614,0.7601,0.000193141,0.000193141,0.000193141
29,356.809,0.40869,0.91576,0.82257,0.99397,1,0.995,0.98124,0.21801,1.21614,0.7601,0.000191608,0.000191608,0.000191608
30,369.035,0.38111,0.97196,0.82781,0.99416,1,0.995,0.98003,0.23725,1.11626,0.7628,0.000189481,0.000189481,0.000189481
31,381.286,0.37511,0.93611,0.82408,0.99459,1,0.995,0.9695,0.25054,1.03799,0.76231,0.00018676,0.00018676,0.00018676
32,393.487,0.35604,0.85584,0.8339,0.99474,1,0.995,0.94879,0.25872,0.97721,0.76136,0.000183445,0.000183445,0.000183445
33,405.718,0.36578,0.89989,0.84769,0.99474,1,0.995,0.94879,0.25872,0.97721,0.76136,0.000179536,0.000179536,0.000179536
34,417.886,0.35587,0.93149,0.83613,0.99476,1,0.995,0.94848,0.27153,0.94682,0.76206,0.0001733,0.0001733,0.0001733
35,429.913,0.43955,0.91964,0.85049,0.99447,1,0.995,0.95075,0.2534,0.92632,0.75947,0.0001634,0.0001634,0.0001634
36,441.816,0.35694,0.91018,0.86138,0.99441,1,0.995,0.97945,0.23733,0.91339,0.75858,0.0001535,0.0001535,0.0001535
37,453.768,0.34918,0.92269,0.86799,0.99441,1,0.995,0.97945,0.23733,0.91339,0.75858,0.0001436,0.0001436,0.0001436
38,466.188,0.33913,0.85433,0.83258,0.99409,1,0.995,0.98042,0.22203,0.91244,0.75713,0.0001337,0.0001337,0.0001337
39,478.297,0.33334,0.83341,0.83884,0.99409,1,0.995,0.96992,0.21866,0.89731,0.75644,0.0001238,0.0001238,0.0001238
40,490.222,0.32228,0.83844,0.82725,0.99443,1,0.995,0.96881,0.22056,0.86953,0.75524,0.0001139,0.0001139,0.0001139
41,502.26,0.30034,1.20521,0.81485,0.99443,1,0.995,0.96881,0.22056,0.86953,0.75524,0.000104,0.000104,0.000104
42,514.363,0.3271,1.2104,0.78796,0.99431,1,0.995,0.96877,0.21904,0.86537,0.75522,9.41e-05,9.41e-05,9.41e-05
43,526.303,0.32936,1.21581,0.83654,0.99431,1,0.995,0.98034,0.21118,0.90345,0.75429,8.42e-05,8.42e-05,8.42e-05
44,538.136,0.31237,1.19154,0.79816,0.99444,1,0.995,0.98031,0.21104,0.94249,0.75407,7.43e-05,7.43e-05,7.43e-05
45,550.036,0.32937,1.2022,0.77768,0.99444,1,0.995,0.98031,0.21104,0.94249,0.75407,6.44e-05,6.44e-05,6.44e-05
46,562.131,0.27124,1.24784,0.78062,0.99468,1,0.995,0.9803,0.21693,0.94557,0.75515,5.45e-05,5.45e-05,5.45e-05
47,573.998,0.27577,1.22023,0.78916,0.99481,1,0.995,0.98028,0.22285,0.93557,0.75585,4.46e-05,4.46e-05,4.46e-05
48,585.83,0.30091,1.28095,0.80704,0.99492,1,0.995,0.98027,0.22702,0.9142,0.75634,3.47e-05,3.47e-05,3.47e-05
49,597.922,0.28382,1.23119,0.81323,0.99492,1,0.995,0.98027,0.22702,0.9142,0.75634,2.48e-05,2.48e-05,2.48e-05
50,609.891,0.31887,1.25869,0.79588,0.99492,1,0.995,0.98027,0.22659,0.88939,0.75612,1.49e-05,1.49e-05,1.49e-05
